05-14-2026 20:25:00 RAM 2121/7620MB (lfb 41x4MB) SWAP 0/3810MB (cached 0MB) CPU [14%@1344,98%@1344,13%@1344,13%@1344,34%@1344,22%@1344] GR3D_FREQ 0% cpu@41.75C soc2@40.125C soc0@41.406C gpu@41.875C tj@41.875C soc1@41.812C VDD_IN 5337mW/5337mW VDD_CPU_GPU_CV 1200mW/1200mW VDD_SOC 1402mW/1402mW
05-14-2026 20:25:01 RAM 2159/7620MB (lfb 41x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@1344,97%@1344,0%@1344,0%@1344,1%@729,0%@729] GR3D_FREQ 0% cpu@41.312C soc2@40.062C soc0@41.281C gpu@41.875C tj@41.875C soc1@41.812C VDD_IN 5096mW/5217mW VDD_CPU_GPU_CV 1001mW/1101mW VDD_SOC 1402mW/1402mW
05-14-2026 20:25:02 RAM 2175/7620MB (lfb 41x4MB) SWAP 0/3810MB (cached 0MB) CPU [1%@1344,100%@1344,2%@1344,0%@1344,1%@729,0%@729] GR3D_FREQ 0% cpu@41.437C soc2@40.125C soc0@41.281C gpu@41.968C tj@41.968C soc1@41.656C VDD_IN 5096mW/5176mW VDD_CPU_GPU_CV 1000mW/1067mW VDD_SOC 1402mW/1402mW
05-14-2026 20:25:03 RAM 2189/7620MB (lfb 41x4MB) SWAP 0/3810MB (cached 0MB) CPU [2%@1344,97%@1344,2%@1344,0%@1344,1%@729,0%@729] GR3D_FREQ 0% cpu@41.593C soc2@40.031C soc0@41.343C gpu@41.875C tj@41.875C soc1@41.75C VDD_IN 5128mW/5164mW VDD_CPU_GPU_CV 1000mW/1050mW VDD_SOC 1402mW/1402mW
05-14-2026 20:25:04 RAM 2215/7620MB (lfb 41x4MB) SWAP 0/3810MB (cached 0MB) CPU [1%@1344,95%@1344,0%@1344,0%@1344,1%@729,0%@729] GR3D_FREQ 0% cpu@41.312C soc2@40.062C soc0@41.281C gpu@42C tj@42C soc1@41.718C VDD_IN 5096mW/5151mW VDD_CPU_GPU_CV 920mW/1024mW VDD_SOC 1442mW/1410mW
05-14-2026 20:25:05 RAM 2235/7620MB (lfb 41x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@1344,58%@1344,0%@1344,39%@1344,1%@729,0%@729] GR3D_FREQ 0% cpu@41.75C soc2@40C soc0@41.5C gpu@42.031C tj@42.031C soc1@41.812C VDD_IN 5056mW/5135mW VDD_CPU_GPU_CV 1001mW/1020mW VDD_SOC 1404mW/1409mW
05-14-2026 20:25:06 RAM 2293/7620MB (lfb 41x4MB) SWAP 0/3810MB (cached 0MB) CPU [12%@1344,0%@1344,0%@1344,73%@1344,1%@729,0%@729] GR3D_FREQ 0% cpu@41.437C soc2@40.156C soc0@41.375C gpu@42C tj@41.875C soc1@41.875C VDD_IN 4983mW/5113mW VDD_CPU_GPU_CV 882mW/1001mW VDD_SOC 1404mW/1408mW
05-14-2026 20:25:07 RAM 2332/7620MB (lfb 41x4MB) SWAP 0/3810MB (cached 0MB) CPU [27%@1344,2%@1344,1%@1344,63%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@41.531C soc2@40.125C soc0@41.281C gpu@41.875C tj@41.875C soc1@41.687C VDD_IN 5096mW/5111mW VDD_CPU_GPU_CV 961mW/996mW VDD_SOC 1404mW/1408mW
05-14-2026 20:25:08 RAM 2471/7620MB (lfb 32x4MB) SWAP 0/3810MB (cached 0MB) CPU [2%@1344,2%@1344,2%@1344,95%@1344,2%@729,2%@729] GR3D_FREQ 26% cpu@41.718C soc2@40.093C soc0@41.343C gpu@41.843C tj@41.843C soc1@41.718C VDD_IN 5208mW/5122mW VDD_CPU_GPU_CV 1040mW/1001mW VDD_SOC 1442mW/1412mW
05-14-2026 20:25:09 RAM 2438/7620MB (lfb 38x4MB) SWAP 0/3810MB (cached 0MB) CPU [86%@1344,13%@1344,12%@1344,26%@1344,14%@729,14%@729] GR3D_FREQ 0% cpu@41.5C soc2@40.218C soc0@41.406C gpu@41.937C tj@41.937C soc1@41.812C VDD_IN 5256mW/5135mW VDD_CPU_GPU_CV 1041mW/1005mW VDD_SOC 1442mW/1415mW
05-14-2026 20:25:10 RAM 2878/7620MB (lfb 3x4MB) SWAP 0/3810MB (cached 0MB) CPU [87%@883,2%@883,7%@883,0%@883,0%@729,0%@729] GR3D_FREQ 0% cpu@41.625C soc2@40.156C soc0@41.312C gpu@41.875C tj@41.875C soc1@41.937C VDD_IN 5528mW/5171mW VDD_CPU_GPU_CV 1080mW/1011mW VDD_SOC 1522mW/1424mW
