05-13-2026 14:22:48 RAM 1697/7620MB (lfb 42x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@960,0%@960,0%@960,0%@960,0%@729,0%@729] GR3D_FREQ 0% cpu@40.281C soc2@39.187C soc0@40.375C gpu@40.937C tj@40.968C soc1@40.968C VDD_IN 4361mW/4361mW VDD_CPU_GPU_CV 483mW/483mW VDD_SOC 1373mW/1373mW
05-13-2026 14:22:49 RAM 1697/7620MB (lfb 42x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@40.406C soc2@39.218C soc0@40.406C gpu@41.218C tj@41.218C soc1@40.812C VDD_IN 4287mW/4324mW VDD_CPU_GPU_CV 444mW/464mW VDD_SOC 1375mW/1374mW
05-13-2026 14:22:50 RAM 1697/7620MB (lfb 42x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@40.281C soc2@39.218C soc0@40.5C gpu@41.281C tj@41.281C soc1@40.812C VDD_IN 4287mW/4312mW VDD_CPU_GPU_CV 444mW/457mW VDD_SOC 1375mW/1374mW
05-13-2026 14:22:51 RAM 1697/7620MB (lfb 42x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@40.468C soc2@39.156C soc0@40.531C gpu@41.281C tj@41.281C soc1@40.906C VDD_IN 4287mW/4306mW VDD_CPU_GPU_CV 444mW/454mW VDD_SOC 1375mW/1375mW
05-13-2026 14:22:52 RAM 1697/7620MB (lfb 42x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,1%@729] GR3D_FREQ 0% cpu@40.218C soc2@39.093C soc0@40.406C gpu@41C tj@41C soc1@41C VDD_IN 4287mW/4302mW VDD_CPU_GPU_CV 444mW/452mW VDD_SOC 1375mW/1375mW
05-13-2026 14:22:53 RAM 1697/7620MB (lfb 42x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@40.281C soc2@39.218C soc0@40.468C gpu@40.968C tj@40.968C soc1@40.718C VDD_IN 4287mW/4299mW VDD_CPU_GPU_CV 444mW/451mW VDD_SOC 1375mW/1375mW
05-13-2026 14:22:54 RAM 1697/7620MB (lfb 42x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@729,1%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@40.468C soc2@39.187C soc0@40.437C gpu@41C tj@41C soc1@40.906C VDD_IN 4287mW/4298mW VDD_CPU_GPU_CV 444mW/450mW VDD_SOC 1375mW/1375mW
05-13-2026 14:22:55 RAM 1697/7620MB (lfb 42x4MB) SWAP 0/3810MB (cached 0MB) CPU [2%@729,1%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@40.25C soc2@39.187C soc0@40.5C gpu@41.031C tj@41.031C soc1@40.875C VDD_IN 4287mW/4296mW VDD_CPU_GPU_CV 444mW/449mW VDD_SOC 1375mW/1375mW
05-13-2026 14:22:56 RAM 1697/7620MB (lfb 42x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,2%@729,0%@729] GR3D_FREQ 0% cpu@40.468C soc2@39.218C soc0@40.562C gpu@40.875C tj@40.906C soc1@40.906C VDD_IN 4287mW/4295mW VDD_CPU_GPU_CV 444mW/448mW VDD_SOC 1375mW/1375mW
05-13-2026 14:22:57 RAM 1697/7620MB (lfb 42x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@40.343C soc2@39.156C soc0@40.531C gpu@40.843C tj@41.031C soc1@41.031C VDD_IN 4287mW/4294mW VDD_CPU_GPU_CV 444mW/448mW VDD_SOC 1375mW/1375mW
05-13-2026 14:22:59 RAM 1697/7620MB (lfb 42x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@40.406C soc2@39.312C soc0@40.437C gpu@40.937C tj@40.937C soc1@40.875C VDD_IN 4287mW/4294mW VDD_CPU_GPU_CV 444mW/448mW VDD_SOC 1375mW/1375mW
05-13-2026 14:23:00 RAM 1697/7620MB (lfb 42x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,1%@729] GR3D_FREQ 0% cpu@40.375C soc2@39.125C soc0@40.468C gpu@41C tj@41C soc1@40.812C VDD_IN 4287mW/4293mW VDD_CPU_GPU_CV 444mW/447mW VDD_SOC 1375mW/1375mW
05-13-2026 14:23:01 RAM 1697/7620MB (lfb 42x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@40.25C soc2@39.156C soc0@40.5C gpu@41.062C tj@41.062C soc1@40.968C VDD_IN 4287mW/4293mW VDD_CPU_GPU_CV 444mW/447mW VDD_SOC 1375mW/1375mW
